,endTime,artistName,trackName,msPlayed,full_track,segsPlayed,In Library,uri_tot
2092,2021-03-25 19:23,Bandalos Chinos,Vámonos de Viaje,235866,Vámonos de Viaje:Bandalos Chinos,235.87,1,2aoaTP39LTDPGHxSKj9OW5
2093,2021-03-25 19:26,Paulo Londra,Homerun (Intro),149491,Homerun (Intro):Paulo Londra,149.49,0,7kh95COsNZjnTmc6aF76n7
2094,2021-03-25 19:27,ACRU,DHARMA,41361,DHARMA:ACRU,41.36,0,1UAQ5fMPGXDzVZO9jojOUV
2095,2021-03-25 19:30,Don Patricio,Los Tenis en Casa,234662,Los Tenis en Casa:Don Patricio,234.66,1,6GTvTjbSupH9AMjuSASsiN
2096,2021-03-25 19:34,WOS,TERRAZA,234940,TERRAZA:WOS,234.94,0,6cLWKCBNawunqBHmyzdG7v
2097,2021-03-25 19:38,Ed Sheeran,Nothing On You (feat. Paulo Londra & Dave),200714,Nothing On You (feat. Paulo Londra & Dave):Ed Sheeran,200.71,0,5Va44ERiHtC2tfBD53OApA
2098,2021-03-25 19:41,Lo' Pibitos,Sintonía,208145,Sintonía:Lo' Pibitos,208.14,0,4MdTIqNWIhd3fgnsSfOTxY
2099,2021-03-25 19:47,Lo' Pibitos,En Espiral,330653,En Espiral:Lo' Pibitos,330.65,0,1Rb3t8HyMNxTqgOXt5MWGd
2100,2021-03-25 19:50,WOS,FRESCO,170296,FRESCO:WOS,170.3,0,0blWPYAfbvpRLVHUcmqmmj
2101,2021-03-25 19:55,Panama Papers Club,Dana La Cubana,299445,Dana La Cubana:Panama Papers Club,299.44,1,1pghpHa1f5gpbt2J2dCMoz
2102,2021-03-25 19:57,Arquero,Zohan,150034,Zohan:Arquero,150.03,0,4IiDUBOOsGyzTkBbCzVvWE
2103,2021-03-25 19:59,Militantes del Climax,Sin Permiso,100587,Sin Permiso:Militantes del Climax,100.59,0,4yY4lrxTxpNCvkP76Eh8nJ
2104,2021-03-25 20:01,Nicki Nicole,Verte,157418,Verte:Nicki Nicole,157.42,0,2mMZAd3ol9wGI2WJl4XJCF
