,track_uri,artist_uri,genres
408,2jnhaQ0a9ClHdvrHiO794T,2FFrhWZS9vJsh2UvxYPRr6,cantautor
408,2jnhaQ0a9ClHdvrHiO794T,2FFrhWZS9vJsh2UvxYPRr6,latin alternative
408,2jnhaQ0a9ClHdvrHiO794T,2FFrhWZS9vJsh2UvxYPRr6,latin rock
408,2jnhaQ0a9ClHdvrHiO794T,2FFrhWZS9vJsh2UvxYPRr6,nueva cancion
408,2jnhaQ0a9ClHdvrHiO794T,2FFrhWZS9vJsh2UvxYPRr6,rock en espanol
408,2jnhaQ0a9ClHdvrHiO794T,2FFrhWZS9vJsh2UvxYPRr6,rock nacional
409,4z7So1Jg2N6HOHto7z5JLT,3ulWAHPDwSvZ0G6eaprCuy,argentine indie
409,4z7So1Jg2N6HOHto7z5JLT,3ulWAHPDwSvZ0G6eaprCuy,indie folk argentino
410,6vV1TLBRd8IeOpQMZNw1ZH,79R7PUc6T6j09G8mJzNml2,argentine alternative rock
410,6vV1TLBRd8IeOpQMZNw1ZH,79R7PUc6T6j09G8mJzNml2,argentine indie
411,3iiVtn6BvOjDaV7YSBo2qX,79R7PUc6T6j09G8mJzNml2,argentine alternative rock
411,3iiVtn6BvOjDaV7YSBo2qX,79R7PUc6T6j09G8mJzNml2,argentine indie
412,0hqlx9C514EqYJ3OUIgNW1,0UWZUmn7sybxMCqrw9tGa7,colombian pop
412,0hqlx9C514EqYJ3OUIgNW1,0UWZUmn7sybxMCqrw9tGa7,latin
412,0hqlx9C514EqYJ3OUIgNW1,0UWZUmn7sybxMCqrw9tGa7,latin pop
412,0hqlx9C514EqYJ3OUIgNW1,0UWZUmn7sybxMCqrw9tGa7,mexican pop
412,0hqlx9C514EqYJ3OUIgNW1,0UWZUmn7sybxMCqrw9tGa7,rock en espanol
412,0hqlx9C514EqYJ3OUIgNW1,0UWZUmn7sybxMCqrw9tGa7,tropical
413,2IFKy3teXj46xdtTA5z4mj,0UWZUmn7sybxMCqrw9tGa7,colombian pop
413,2IFKy3teXj46xdtTA5z4mj,0UWZUmn7sybxMCqrw9tGa7,latin
413,2IFKy3teXj46xdtTA5z4mj,0UWZUmn7sybxMCqrw9tGa7,latin pop
413,2IFKy3teXj46xdtTA5z4mj,0UWZUmn7sybxMCqrw9tGa7,mexican pop
413,2IFKy3teXj46xdtTA5z4mj,0UWZUmn7sybxMCqrw9tGa7,rock en espanol
413,2IFKy3teXj46xdtTA5z4mj,0UWZUmn7sybxMCqrw9tGa7,tropical
414,5uAPIaJgTVMvdTetd5WeM5,3jO7X5KupvwmWTHGtHgcgo,argentine rock
414,5uAPIaJgTVMvdTetd5WeM5,3jO7X5KupvwmWTHGtHgcgo,latin alternative
414,5uAPIaJgTVMvdTetd5WeM5,3jO7X5KupvwmWTHGtHgcgo,latin rock
414,5uAPIaJgTVMvdTetd5WeM5,3jO7X5KupvwmWTHGtHgcgo,post-punk argentina
414,5uAPIaJgTVMvdTetd5WeM5,3jO7X5KupvwmWTHGtHgcgo,rock en espanol
414,5uAPIaJgTVMvdTetd5WeM5,3jO7X5KupvwmWTHGtHgcgo,rock nacional
415,5nAiSK9L3OG1v3HEgZmnoz,0h1zs4CTlU9D2QtgPxptUD,cantautor
415,5nAiSK9L3OG1v3HEgZmnoz,0h1zs4CTlU9D2QtgPxptUD,latin
415,5nAiSK9L3OG1v3HEgZmnoz,0h1zs4CTlU9D2QtgPxptUD,latin arena pop
415,5nAiSK9L3OG1v3HEgZmnoz,0h1zs4CTlU9D2QtgPxptUD,latin pop
415,5nAiSK9L3OG1v3HEgZmnoz,0h1zs4CTlU9D2QtgPxptUD,rock en espanol
416,0bdL8X3MrX51dRz231BFtv,0eHQ9o50hj6ZDNBt6Ys1sD,latin
416,0bdL8X3MrX51dRz231BFtv,0eHQ9o50hj6ZDNBt6Ys1sD,latin hip hop
416,0bdL8X3MrX51dRz231BFtv,0eHQ9o50hj6ZDNBt6Ys1sD,reggaeton
416,0bdL8X3MrX51dRz231BFtv,0eHQ9o50hj6ZDNBt6Ys1sD,reggaeton flow
416,0bdL8X3MrX51dRz231BFtv,0eHQ9o50hj6ZDNBt6Ys1sD,trap latino
417,0AP4CI592TMd5YktR6XINJ,7E0i3aKAcm8iGK15QePkog,argentine rock
417,0AP4CI592TMd5YktR6XINJ,7E0i3aKAcm8iGK15QePkog,rock en espanol
417,0AP4CI592TMd5YktR6XINJ,7E0i3aKAcm8iGK15QePkog,rock nacional
418,42PvpvCg7eaXJy89at6u8s,7FnZWGw9lwOr7WzieTKEPR,argentine reggae
418,42PvpvCg7eaXJy89at6u8s,7FnZWGw9lwOr7WzieTKEPR,argentine rock
418,42PvpvCg7eaXJy89at6u8s,7FnZWGw9lwOr7WzieTKEPR,latin alternative
418,42PvpvCg7eaXJy89at6u8s,7FnZWGw9lwOr7WzieTKEPR,latin rock
418,42PvpvCg7eaXJy89at6u8s,7FnZWGw9lwOr7WzieTKEPR,reggae en espanol
418,42PvpvCg7eaXJy89at6u8s,7FnZWGw9lwOr7WzieTKEPR,rock en espanol
418,42PvpvCg7eaXJy89at6u8s,7FnZWGw9lwOr7WzieTKEPR,ska argentino
419,00VTP0gOli5lkpAEzvozcS,2osoVujXgV0PA8lhqDKYFw,argentine rock
419,00VTP0gOli5lkpAEzvozcS,2osoVujXgV0PA8lhqDKYFw,cumbia villera
419,00VTP0gOli5lkpAEzvozcS,2osoVujXgV0PA8lhqDKYFw,latin alternative
419,00VTP0gOli5lkpAEzvozcS,2osoVujXgV0PA8lhqDKYFw,rock en espanol
420,1lrcy21mSisqOSuSb1c1tB,6GYXfifD78PYARjZzxQzrG,argentine telepop
420,1lrcy21mSisqOSuSb1c1tB,6GYXfifD78PYARjZzxQzrG,cumbia pop
420,1lrcy21mSisqOSuSb1c1tB,6GYXfifD78PYARjZzxQzrG,pop argentino
421,5H8M2ffRKcdqJTc6YTt4c2,13JJKrUewC1CJYmIDXQNoH,argentine rock
421,5H8M2ffRKcdqJTc6YTt4c2,13JJKrUewC1CJYmIDXQNoH,latin alternative
